Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Agricultural land (% of land area) [AG.LND.AGRI.ZS],Arable land (% of land area) [AG.LND.ARBL.ZS]
2000,YR2000,Afghanistan,AFG,1.852781994,57.94581666,11.77958696
2000,YR2000,Australia,AUS,17.15815576,59.28810382,3.05546516
2000,YR2000,Austria,AUT,46.51163354,35.63015027,16.95346583
2000,YR2000,Canada,CAN,38.79298183,6.835802217,4.569805222
2000,YR2000,China,CHN,18.85347276,55.69458321,12.6797199
2000,YR2000,India,IND,22.733495,60.86896566,54.12704873
2000,YR2000,Japan,JPN,68.24691358,14.42524005,12.27434842
2000,YR2000,Italy,ITA,28.30145612,52.87807979,28.67258672
2000,YR2000,Pakistan,PAK,5.852091117,47.60533416,40.2656704
2000,YR2000,Singapore,SGP,25.39328358,1.791044776,1.492537313
2001,YR2001,Afghanistan,AFG,1.852781994,57.94734986,11.77958696
2001,YR2001,Australia,AUS,17.12863335,59.31817294,3.150098278
2001,YR2001,Austria,AUT,46.54200194,35.33809985,16.80804653
2001,YR2001,Canada,CAN,38.78763071,6.838162441,4.567239858
2001,YR2001,China,CHN,19.10496812,55.75787186,12.74298198
2001,YR2001,India,IND,22.7975676,60.70483218,53.92356358
2001,YR2001,Japan,JPN,68.27160494,14.30178326,12.1920439
2001,YR2001,Italy,ITA,28.52423255,52.42156379,28.19916272
2001,YR2001,Pakistan,PAK,5.797928342,47.9607721,40.60294728
2001,YR2001,Singapore,SGP,25.50164179,1.791044776,1.492537313
2002,YR2002,Afghanistan,AFG,1.852781994,57.93968385,11.77192095
2002,YR2002,Australia,AUS,17.09911094,58.1856996,3.08956953
2002,YR2002,Austria,AUT,46.57237033,35.16965584,16.78380999
2002,YR2002,Canada,CAN,38.78227958,6.925478412,4.530097852
2002,YR2002,China,CHN,19.3564539,55.82113207,12.78493429
2002,YR2002,India,IND,22.86164019,60.72938494,53.95955186
2002,YR2002,Japan,JPN,68.2962963,14.19753086,12.12345679
2002,YR2002,Italy,ITA,28.74700897,51.64717738,28.02331951
2002,YR2002,Pakistan,PAK,5.743765567,47.84661685,40.49916978
2002,YR2002,Singapore,SGP,25.42044444,1.777777778,1.481481481
2003,YR2003,Afghanistan,AFG,1.852781994,58.08380479,11.91604189
2003,YR2003,Australia,AUS,17.06958853,57.20942947,3.025135702
2003,YR2003,Austria,AUT,46.60273873,34.96400873,16.72358216
2003,YR2003,Canada,CAN,38.77692846,6.909305467,4.492955846
2003,YR2003,China,CHN,19.60793869,55.88438929,12.80558261
2003,YR2003,India,IND,22.92571279,60.62478348,53.74664922
2003,YR2003,Japan,JPN,68.32098765,14.10150892,12.06310014
2003,YR2003,Italy,ITA,28.9697854,50.40951176,26.9141547
2003,YR2003,Pakistan,PAK,5.689602792,47.79213367,40.46025322
2003,YR2003,Singapore,SGP,25.08224163,1.164483261,0.873362445
2004,YR2004,Afghanistan,AFG,1.852781994,58.15126566,11.98350275
2004,YR2004,Australia,AUS,17.04006613,51.40465746,3.350949585
2004,YR2004,Austria,AUT,46.63310713,34.74793989,16.71473582
2004,YR2004,Canada,CAN,38.77157733,6.893132521,4.455813839
2004,YR2004,China,CHN,19.85942287,55.94764475,12.82623053
2004,YR2004,India,IND,22.98978538,60.66716221,53.70696121
2004,YR2004,Japan,JPN,68.34567901,14.01920439,12.01371742
2004,YR2004,Italy,ITA,29.19256183,50.32835336,26.9817867
2004,YR2004,Pakistan,PAK,5.635440017,46.75825031,39.31870071
2004,YR2004,Singapore,SGP,25.1149492,1.161103048,1.015965167
2005,YR2005,Afghanistan,AFG,1.852781994,58.13440044,11.96663754
2005,YR2005,Australia,AUS,17.01054372,53.39937258,3.436731187
2005,YR2005,Austria,AUT,46.66347552,34.61948619,16.73170141
2005,YR2005,Canada,CAN,38.7662262,6.876959575,4.418671833
2005,YR2005,China,CHN,20.11090813,56.01090318,12.85220495
2005,YR2005,India,IND,23.05385798,60.58341377,53.62724885
2005,YR2005,Japan,JPN,68.37037037,13.93689986,11.96159122
2005,YR2005,Italy,ITA,29.41533826,49.83125816,26.30884829
2005,YR2005,Pakistan,PAK,5.581277242,46.65447281,39.13709008
2005,YR2005,Singapore,SGP,25.22046444,1.103047896,0.957910015
2006,YR2006,Afghanistan,AFG,1.852781994,58.12366803,11.94977232
2006,YR2006,Australia,AUS,16.98102131,53.27857543,3.15374302
2006,YR2006,Austria,AUT,46.69384392,34.45588948,16.68928745
2006,YR2006,Canada,CAN,38.76087508,6.757391315,4.381529827
2006,YR2006,China,CHN,20.36239278,56.07415984,12.88883063
2006,YR2006,India,IND,23.11793057,60.50941918,53.36423168
2006,YR2006,Japan,JPN,68.39506173,13.86392318,11.91495199
2006,YR2006,Italy,ITA,29.63811469,48.02886534,24.94268188
2006,YR2006,Pakistan,PAK,5.527114467,46.875,39.33167289
2006,YR2006,Singapore,SGP,25.14351585,1.080691643,0.936599424
2007,YR2007,Afghanistan,AFG,1.852781994,58.12980084,11.94977232
2007,YR2007,Australia,AUS,16.9514989,51.85367663,3.010166226
2007,YR2007,Austria,AUT,46.72421231,34.29592826,16.67474552
2007,YR2007,Canada,CAN,38.75552395,6.693145683,4.337026342
2007,YR2007,China,CHN,20.61387789,56.1374177,12.88284996
2007,YR2007,India,IND,23.18200317,60.4132262,53.14897467
2007,YR2007,Japan,JPN,68.41975309,13.7909465,11.86831276
2007,YR2007,Italy,ITA,29.86089112,47.89021974,24.24945387
2007,YR2007,Pakistan,PAK,5.472951692,46.71673931,39.15006227
2007,YR2007,Singapore,SGP,25.21194245,1.151079137,1.007194245
2008,YR2008,Afghanistan,AFG,1.852781994,58.13286724,11.94977232
2008,YR2008,Australia,AUS,16.92197649,50.67336605,3.123296409
2008,YR2008,Austria,AUT,46.75458071,34.04507998,16.5899176
2008,YR2008,Canada,CAN,38.75017283,6.62890005,4.292522857
2008,YR2008,China,CHN,20.86536169,56.20067197,12.90882344
2008,YR2008,India,IND,23.24607576,60.45930465,53.13989352
2008,YR2008,Japan,JPN,68.44444444,13.71522634,11.81893004
2008,YR2008,Italy,ITA,30.08366755,48.88846807,25.35523708
2008,YR2008,Pakistan,PAK,5.418788917,45.80868618,38.21606476
2008,YR2008,Singapore,SGP,25.13571429,1,0.857142857
2009,YR2009,Afghanistan,AFG,1.852781994,58.13286724,11.94823912
2009,YR2009,Australia,AUS,16.89245408,50.01848405,3.533004439
2009,YR2009,Austria,AUT,46.7849491,33.87057683,16.56083374
2009,YR2009,Canada,CAN,38.7448217,6.564654418,4.248019372
2009,YR2009,China,CHN,21.11684505,56.26392504,12.9294708
2009,YR2009,India,IND,23.31014836,60.56390611,53.11601344
2009,YR2009,Japan,JPN,68.4691358,13.64773663,11.78052126
2009,YR2009,Italy,ITA,30.30644398,47.28288437,23.60694986
2009,YR2009,Pakistan,PAK,5.364626142,45.7619863,38.16417601
2009,YR2009,Singapore,SGP,25.23957143,1,0.857142857
2010,YR2010,Afghanistan,AFG,1.852781994,58.13440044,11.94823912
2010,YR2010,Australia,AUS,16.86293167,48.99209872,3.331261471
2010,YR2010,Austria,AUT,46.8153175,33.6791081,16.52690257
2010,YR2010,Canada,CAN,38.73947058,6.500408785,4.203515887
2010,YR2010,China,CHN,21.36832885,56.18347308,12.79608011
2010,YR2010,India,IND,23.37422095,60.39741826,52.80826318
2010,YR2010,Japan,JPN,68.49382716,13.58847737,11.74759945
2010,YR2010,Italy,ITA,30.52922041,48.45088902,23.81322747
2010,YR2010,Pakistan,PAK,5.310463367,45.71658364,38.12525944
2010,YR2010,Singapore,SGP,25.27122507,1.054131054,0.911680912
2011,YR2011,Afghanistan,AFG,1.852781994,58.13133404,11.94517272
2011,YR2011,Australia,AUS,16.95531026,51.56281322,4.125704542
2011,YR2011,Austria,AUT,46.85891905,33.41371789,16.47600582
2011,YR2011,Canada,CAN,38.73486407,6.435683541,4.158677789
2011,YR2011,China,CHN,21.57462737,56.10366022,12.6413861
2011,YR2011,India,IND,23.46382169,60.43004315,52.79817301
2011,YR2011,Japan,JPN,68.48175583,13.4951989,11.67078189
2011,YR2011,Italy,ITA,30.71117754,46.84395268,22.72435225
2011,YR2011,Pakistan,PAK,5.268659195,46.61685347,39.04628477
2011,YR2011,Singapore,SGP,24.83892045,1.036931818,0.894886364
2012,YR2012,Afghanistan,AFG,1.852781994,58.12980084,11.94363951
2012,YR2012,Australia,AUS,17.04768884,50.38543145,4.118219804
2012,YR2012,Austria,AUT,46.9025206,33.14590402,16.42147358
2012,YR2012,Canada,CAN,38.73025757,6.443636169,4.186450641
2012,YR2012,China,CHN,21.78092589,56.02352781,12.49734374
2012,YR2012,India,IND,23.55342242,60.42062566,52.65253818
2012,YR2012,Japan,JPN,68.4696845,13.45679012,11.64883402
2012,YR2012,Italy,ITA,30.89313468,46.42598692,24.07022907
2012,YR2012,Pakistan,PAK,5.226855023,46.78160025,39.22789539
2012,YR2012,Singapore,SGP,24.40906516,1.033994334,0.892351275
2013,YR2013,Afghanistan,AFG,1.852781994,58.12366803,11.93597351
2013,YR2013,Australia,AUS,17.14006743,48.39371022,4.063991253
2013,YR2013,Austria,AUT,46.94612215,32.91808047,16.40693165
2013,YR2013,Canada,CAN,38.72565107,6.451555335,4.214223492
2013,YR2013,China,CHN,21.9872244,55.94339539,12.39590802
2013,YR2013,India,IND,23.64302315,60.43946065,52.61755892
2013,YR2013,Japan,JPN,68.45761317,13.42112483,11.62688615
2013,YR2013,Italy,ITA,31.07509181,46.09120852,23.08618346
2013,YR2013,Pakistan,PAK,5.185050851,47.06309672,39.52625571
2013,YR2013,Singapore,SGP,24.0155587,0.947666195,0.806223479
2014,YR2014,Afghanistan,AFG,1.852781994,58.12366803,11.91450869
2014,YR2014,Australia,AUS,17.23244601,48.73839866,4.160251487
2014,YR2014,Austria,AUT,46.9897237,32.89142026,16.38027145
2014,YR2014,Canada,CAN,38.72104457,6.459474502,4.241996344
2014,YR2014,China,CHN,22.19352292,55.86326298,12.31364527
2014,YR2014,India,IND,23.73262388,60.44955082,52.62462204
2014,YR2014,Japan,JPN,68.44554184,13.36076818,11.5829904
2014,YR2014,Italy,ITA,31.25704895,44.5086197,22.75140505
2014,YR2014,Pakistan,PAK,5.143246679,47.0267746,39.48733914
2014,YR2014,Singapore,SGP,23.58984485,0.930888575,0.789844852
2015,YR2015,Afghanistan,AFG,1.852781994,58.12366803,11.90530948
2015,YR2015,Australia,AUS,17.3248246,45.31442407,4.04705622
2015,YR2015,Austria,AUT,47.03332525,32.94292293,16.31240911
2015,YR2015,Canada,CAN,38.71643807,6.467505206,4.269880733
2015,YR2015,China,CHN,22.39982144,55.78313057,12.23564319
2015,YR2015,India,IND,23.82222461,60.43172485,52.60780508
2015,YR2015,Japan,JPN,68.43347051,13.29492455,11.53635117
2015,YR2015,Italy,ITA,31.43900608,43.77481249,22.32194185
2015,YR2015,Pakistan,PAK,5.101442507,46.96191366,39.43545039
2015,YR2015,Singapore,SGP,23.23187588,0.930888575,0.789844852
2016,YR2016,Afghanistan,AFG,1.852781994,58.12366803,11.85011422
2016,YR2016,Australia,AUS,17.42548771,44.53992579,3.907556143
2016,YR2016,Austria,AUT,47.07695104,32.35785264,16.29289869
2016,YR2016,Canada,CAN,38.71201338,6.474755147,4.297542047
2016,YR2016,China,CHN,22.63049793,55.70300409,12.08450102
2016,YR2016,India,IND,23.91182535,60.39909996,52.57551653
2016,YR2016,Japan,JPN,68.42249657,13.20438957,11.478738
2016,YR2016,Italy,ITA,31.62096998,43.32505969,22.64657545
2016,YR2016,Pakistan,PAK,5.017953508,47.72986716,40.20080946
2016,YR2016,Singapore,SGP,22.9696756,0.930888575,0.789844852
2017,YR2017,Afghanistan,AFG,1.852781994,58.12366803,11.80411818
2017,YR2017,Australia,AUS,17.42291362,48.34061794,3.997909522
2017,YR2017,Austria,AUT,47.12045565,32.16941348,16.10445952
2017,YR2017,Canada,CAN,38.7078876,6.454410697,4.295199758
2017,YR2017,China,CHN,22.83070681,55.62287167,11.93335755
2017,YR2017,India,IND,24.00142608,60.2839388,52.43362718
2017,YR2017,Japan,JPN,68.40877915,13.10836763,11.41563786
2017,YR2017,Italy,ITA,31.80293388,43.3743296,22.77937089
2017,YR2017,Pakistan,PAK,4.99418846,48.00098589,40.48619759
2017,YR2017,Singapore,SGP,22.62640449,0.926966292,0.786516854
2018,YR2018,Afghanistan,AFG,1.852781994,58.27698818,11.94977232
2018,YR2018,Australia,AUS,17.42131456,46.65809501,4.026770601
2018,YR2018,Austria,AUT,47.16396025,32.14772176,16.08276781
2018,YR2018,Canada,CAN,38.70376294,6.456819908,4.315388056
2018,YR2018,China,CHN,23.03091218,55.54273924,11.78221407
2018,YR2018,India,IND,24.09102681,60.24356466,52.29329811
2018,YR2018,Japan,JPN,68.40877915,13.02057613,11.36351166
2018,YR2018,Italy,ITA,31.98489777,41.94874847,22.73449705
2018,YR2018,Pakistan,PAK,4.940561436,47.93612495,40.42133665
2018,YR2018,Singapore,SGP,22.31092437,0.924369748,0.784313725
2019,YR2019,Afghanistan,AFG,1.852781994,58.27698818,11.94057311
2019,YR2019,Australia,AUS,17.42131456,47.12377243,3.974638651
2019,YR2019,Austria,AUT,47.20746486,32.12809016,16.06313621
2019,YR2019,Canada,CAN,38.69963717,6.434356244,4.310703479
2019,YR2019,China,CHN,23.23111754,55.46264943,11.62756266
2019,YR2019,India,IND,24.18062754,60.21981337,52.25669278
2019,YR2019,Japan,JPN,68.40877915,12.93552812,11.31412894
2019,YR2019,Italy,ITA,32.16697045,44.36999564,23.38108056
